,Name,neg,neu,pos,compound,Stars,Title,Date,Description
47,Stormie Jamison,0.0,0.42,0.58,0.8519,5,"5.0 out of 5 stars
Buy again",12/12/2023,I love it came in a great condition and everything
48,Emmanuel,0.0,0.414,0.586,0.9344,5,"5.0 out of 5 stars
Good deal",20/06/2024,Very good product. I love it. Great value for the money and it is A++++
49,Susaney,0.412,0.588,0.0,-0.5994,5,"5.0 out of 5 stars
Awesome phone",12/3/2024,No problems and it looks and feels brand new
50,Silvia Escalera,0.0,0.463,0.537,0.9148,5,"5.0 out of 5 stars
Excelente",4/7/2024,"I loved it as described, it is in excellent condition and works very well, thank you"
51,J. Cox,0.204,0.796,0.0,-0.9337,1,"1.0 out of 5 stars
Broken Baseband",11/6/2024,"I purchased an iPhone 15 pro max 256 GB blue titanium. When I tried activating it the wait was so long, I was told something was wrong with the device. After hours of storing and updating, i was getting the same message. I did some research that showed that the device has a broken baseband which shows the error in the picture i took. A broken baseband renders the device useless.Very disappointed."
52,Keith,0.062,0.805,0.133,0.5423,5,"5.0 out of 5 stars
3 minor scratches, good quality",4/5/2024,"I ordered a iphone 14 pro max with another seller, and it was in poor shape, despite being labeled ""excellent"".The iphone 15 pro max came with 3 light scratches, 100% battery life and in good working order for 33% off full retail.I'm happy with this purchase."
53,Francisco Melchor,0.0,0.448,0.552,0.5719,5,"5.0 out of 5 stars
Nice",28/03/2024,Works perfect as described
54,Amazon Customer,0.085,0.795,0.12,0.1479,2,"2.0 out of 5 stars
Pantalla súper rayada",17/05/2024,"The description calls it excellent condition but the screen has too many scratches, it works very well. The delivery time was exact but the screen issue is a little disappointing, if I could I would return it but I'm outside the US"
55,yennifer watkins,0.0,0.78,0.22,0.8873,4,"4.0 out of 5 stars
Like New",23/12/2023,"Phone looks brand new, came with a charger and screen protector as well. Price could be a bit cheaper since it’s refurbished but overall it was a good purchase. Phone was shipped and arrived quicker than I thought and I’m overall happy with it."
56,haidi,0.0,0.626,0.374,0.3384,5,"5.0 out of 5 stars
Product holds up very well",24/05/2024,Product holds up very well
57,Kindle Customer,0.0,0.823,0.177,0.4199,5,"5.0 out of 5 stars
Came in amazing condition",14/05/2024,It was basically brand new with a 100% battery capacity. I recommend buying from these guys!
58,A,0.218,0.495,0.287,0.1779,5,"5.0 out of 5 stars
Performance",27/05/2024,Good quality and no issue at all.
59,Jeco,0.056,0.714,0.229,0.7777,5,"5.0 out of 5 stars
Great Phone!",9/4/2024,"Great phone! With a few cosmetic scratches, the phone worked well like it’s new from the box. 100% battery life, still has factory warranty, no issues so far. First time buying from Networkstore"
60,Tony Kiwanna,0.0,0.511,0.489,0.9531,5,"5.0 out of 5 stars
Awesome Iphone!",30/01/2024,"Believe everything you've heard from reviewers, that is the good...this is one terrific phone, i was very impressed, YES Apples best phone Yet..Highly recommend!"
